# Directed graph: ../data/anomaly.txt 
# Nodes: 22 Edges: 105
# FromNodeId	ToNodeId
0	2
0	3
0	10
0	12
0	15
1	2
1	3
1	9
1	14
1	19
1	21
2	4
2	5
2	11
2	16
2	18
2	19
3	4
3	5
3	8
3	16
3	18
4	0
4	1
4	6
4	11
4	17
4	19
5	0
5	1
5	12
5	13
5	17
5	21
6	4
6	7
6	12
6	18
6	20
7	6
7	14
7	16
7	21
8	3
8	15
8	17
8	19
8	20
9	1
9	5
9	8
9	15
10	20
11	4
11	5
11	6
11	7
11	10
11	15
12	3
12	9
12	13
12	15
12	18
12	19
13	0
13	9
13	11
13	12
13	16
13	18
14	7
14	13
14	20
15	0
15	10
15	14
15	18
15	20
16	1
16	8
16	12
16	13
16	15
16	20
17	6
17	8
17	16
18	2
18	9
18	11
18	16
18	20
19	8
19	18
19	20
20	9
20	13
20	18
21	7
21	14
21	15
21	17
21	19
21	20
